url,section,что_не_так,почему_нельзя,что_вместо
/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/40letpobedy216/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/40letpobedy216/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/among_us/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/among_us/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/amongus-land/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/amongus-land/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/beguschij_v_labirinte/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/beguschij_v_labirinte/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/brawl_stars/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/brawl_stars/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/contacts/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/den-rozhdeniya-na-vr-arene/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/den-rozhdeniya-na-vr-arene/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/den-rozhdeniya-uznik-azkabana/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/den-rozhdeniya-uznik-azkabana/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/garri-potter-i-kubok-ognya/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/garri-potter-i-kubok-ognya/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/guardeskypereulog61/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/guardeskypereulog61/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/hostel-podval-pytok/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/hostel-podval-pytok/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/igra_v_kalmara/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/igra_v_kalmara/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/igra-v-kalmara-lend/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/igra-v-kalmara-lend/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/indiana/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
/indiana/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/kids/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/kids/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/krasnormerskaya103/,Tilda map (controlled capture),Live встраивает интерактивную стороннюю карту.,Сторонняя карта нарушает zero-external-requests и даёт недетерминированный результат.,Локальная LazyMap с явной активацией пользователем.
/krasnormerskaya103/,Tilda reviews widget (controlled capture),Live reviews-widget получает внешние данные и меняет состав/порядок карточек.,Внешний виджет не допускается в статическом clone и не имеет стабильного снимка.,Локальный snapshot отзывов без внешних запросов.
/kvest_v_realnosti_dom_prizrakov/,Tilda booking / lead widget (controlled capture),Live использует удалённый календарь или lead-widget; его состояние и служебный текст зависят от внешнего сервиса.,Статический clone обязан работать без внешних запросов и не может воспроизводить нестабильный удалённый интерфейс.,Локальная PrebookingForm или PartyForm с тем же действием заявки.
